ticker,name,city,isin,status
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,ANKARA,TREARDY00023,STOCK
ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAARENA91U1,STOCK
ARFYE,ARF BİO YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,ANKARA,TREARFB00018,STOCK
ARMGD,ARMADA GIDA TİCARET SANAYİ A.Ş.,MERSİN,TREARDG00020,STOCK
ARSAN,ARSAN HOLDİNG A.Ş.,KAHRAMANMARAŞ,TRAARSAN91B1,STOCK
ARSVY,ARSAN VARLIK YÖNETİM A.Ş.,İSTANBUL,,NON_EQUITY
ARTMS,ARTEMİS HALI A.Ş.,İSTANBUL,TREATMS00014,STOCK
ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREAZEV00020,STOCK
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,ANKARA,TRAASELS91H2,STOCK
ASGYO,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GAZİANTEP,TREASCE00033,STOCK
ASTOR,ASTOR ENERJİ A.Ş.,ANKARA,TREASTR00013,STOCK
ASUZU,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAASUZU91H4,STOCK
ATA,ATA YATIRIM MENKUL KIYMETLER A.Ş.,İSTANBUL,,NON_EQUITY
ATAGY,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAATAYO91Q1,STOCK
ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREATKY00016,STOCK
ATATP,ATP YAZILIM VE TEKNOLOJİ A.Ş.,İSTANBUL,TREATTP00023,STOCK
ATATR,ATA TURİZM İŞLETMECİLİK TAŞIMACILIK MADENCİLİK KUYUMCULUK SANAYİ VE DIŞ TİCARET A.Ş.,İSTANBUL,TREATTR00011,STOCK
ATAVK,ATA VARLIK KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
ATAYM,ATA YATIRIM MENKUL KIYMETLER A.Ş.,İSTANBUL,,NON_EQUITY
ATEKS,AKIN TEKSTİL A.Ş.,İSTANBUL,TRAATEKS91B5,STOCK
ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAATLAS91Q9,STOCK
ATLFA,ATILIM FAKTORİNG A.Ş.,İSTANBUL,,NON_EQUITY
ATSYH,ATLANTİS YATIRIM HOLDİNG A.Ş.,İSTANBUL,TRAATSYO91Q3,STOCK
AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAAVRSY91Q2,STOCK
AVHOL,AVRUPA YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREBYTS00017,STOCK
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,İZMİR,TREAVOD00018,STOCK
AVPGY,AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAVRK00024,STOCK
AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,İSTANBUL,,UNRESOLVED
AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,İZMİR,TRAAYCES92K1,STOCK
AYDEM,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,DENİZLİ,TREAYDM00024,STOCK
AYEN,AYEN ENERJİ A.Ş.,ANKARA,TRAAYENW91L0,STOCK
AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,İSTANBUL,TREAYES00011,STOCK
AYGAZ,AYGAZ A.Ş.,İSTANBUL,TRAAYGAZ91E0,STOCK
AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,İSTANBUL,TREAZTK00021,STOCK
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,İSTANBUL,TRABAGFS91E2,STOCK
BAHKM,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.,KIRIKKALE,TREBHDR00018,STOCK
BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR,TRABAKAB91D3,STOCK
BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,İZMİR,TREBLTA00012,STOCK
BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBALS00022,STOCK
BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.,BALIKESİR,TRABANVT92A9,STOCK
BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR,TREBARM00014,STOCK
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,ANKARA,TREBASC00013,STOCK
BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,TREBSGZ00037,STOCK
BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBYRK00026,STOCK
BEGYO,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DENİZLİ,TREBTEG00014,STOCK
BERA,BERA HOLDİNG A.Ş.,KONYA,TREKMBH00014,STOCK
BESLR,BESLER GIDA VE KİMYA SANAYİ VE TİCARET A.Ş.,İSTANBUL,,UNRESOLVED
BESTE,BEST BRANDS GRUP ENERJİ YATIRIM A.Ş.,İSTANBUL,TREBSBR00019,STOCK
BETAE,BETA ENERJİ VE TEKNOLOJİ A.Ş.,ADANA,TREBTAE00025,STOCK
BEYAZ,BEYAZ FİLO OTO KİRALAMA A.Ş.,ANKARA,TREBFOK00014,STOCK
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BURSA,TRABFREN91H5,STOCK
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,ANKARA,TREBNYP00016,STOCK
BIGCH,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBIGC00011,STOCK
BIGEN,BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.,İSTANBUL,TREBYEN00010,STOCK
BIGTK,BİG MEDYA TEKNOLOJİ A.Ş.,İSTANBUL,,UNRESOLVED
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,İSTANBUL,TREBIMM00018,STOCK
BINBN,BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.,İSTANBUL,TREBINU00019,STOCK
BINHO,1000 YATIRIMLAR HOLDİNG A.Ş.,İSTANBUL,TREBINH00024,STOCK
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,İSTANBUL,TREBION00012,STOCK
BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,İSTANBUL,TREBZMT00017,STOCK
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRABJKAS91X6,STOCK
BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,ADANA,TREBLCY00018,STOCK
BLKOM,BİLKOM BİLİŞİM HİZMETLERİ A.Ş.,İSTANBUL,,UNRESOLVED
BLS,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,NON_EQUITY
BLSMD,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,NON_EQUITY
BLUME,BLUME METAL KİMYA A.Ş.,İSTANBUL,,UNRESOLVED
BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,MANİSA,TREBMSC00018,STOCK
BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBMSM00017,STOCK
BNPPI,BNP PARIBAS ISSUANCE B.V.,,,NON_EQUITY
BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.,BALIKESİR,TREBANT00026,STOCK
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBOBT00014,STOCK
BORLS,BORLEASE OTOMOTİV A.Ş.,İSTANBUL,TREBORL00025,STOCK
BORSK,BOR ŞEKER A.Ş.,İSTANBUL,TREBRSK00010,STOCK
BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,ADANA,TRABOSSA91B5,STOCK
BRGAN,BURGAN BANK A.Ş.,İSTANBUL,,UNRESOLVED
BRGFK,BURGAN FİNANSAL KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
BRISA,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRABRISA91E3,STOCK
BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,NİĞDE,TREBRKO00019,STOCK
BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,İSTANBUL,TREBERK00010,STOCK
BRKT,BEREKET VARLIK KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
BRKVY,BİRİKİM VARLIK YÖNETİM A.Ş.,İSTANBUL,TREBVYS00013,STOCK
BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBLSM00027,STOCK
BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,KAYSERİ,TRABRMEN91B4,STOCK
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRABRSAN91G8,STOCK
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,İSTANBUL,TRABRYAT91Q2,STOCK
BSOKE,BATIÇİM ÇİMENTO SANAYİ A.Ş.,İZMİR,TRABSOKE91F5,STOCK
