ticker,name,city,isin
BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBALS00022
BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.,BALIKESİR,TRABANVT92A9
BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR,TREBARM00014
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,ANKARA,TREBASC00013
BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,TREBSGZ00037
BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBYRK00026
BEGYO,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DENİZLİ,TREBTEG00014
BERA,BERA HOLDİNG A.Ş.,KONYA,TREKMBH00014
BESTE,BEST BRANDS GRUP ENERJİ YATIRIM A.Ş.,İSTANBUL,TREBSBR00019
BETAE,BETA ENERJİ VE TEKNOLOJİ A.Ş.,ADANA,TREBTAE00025
BEYAZ,BEYAZ FİLO OTO KİRALAMA A.Ş.,ANKARA,TREBFOK00014
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BURSA,TRABFREN91H5
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,ANKARA,TREBNYP00016
BIGCH,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBIGC00011
BIGEN,BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.,İSTANBUL,TREBYEN00010
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,İSTANBUL,TREBIMM00018
BINBN,BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.,İSTANBUL,TREBINU00019
BINHO,1000 YATIRIMLAR HOLDİNG A.Ş.,İSTANBUL,TREBINH00024
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,İSTANBUL,TREBION00012
BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,İSTANBUL,TREBZMT00017
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRABJKAS91X6
BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,ADANA,TREBLCY00018
BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,MANİSA,TREBMSC00018
BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBMSM00017
BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.,BALIKESİR,TREBANT00026
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBOBT00014
BORLS,BORLEASE OTOMOTİV A.Ş.,İSTANBUL,TREBORL00025
BORSK,BOR ŞEKER A.Ş.,İSTANBUL,TREBRSK00010
BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,ADANA,TRABOSSA91B5
BRISA,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRABRISA91E3
BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,NİĞDE,TREBRKO00019
BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,İSTANBUL,TREBERK00010
BRKVY,BİRİKİM VARLIK YÖNETİM A.Ş.,İSTANBUL,TREBVYS00013
BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREBLSM00027
BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,KAYSERİ,TRABRMEN91B4
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRABRSAN91G8
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,İSTANBUL,TRABRYAT91Q2
BSOKE,BATIÇİM ÇİMENTO SANAYİ A.Ş.,İZMİR,TRABSOKE91F5
BTCIM,BATIÇİM BATI ANADOLU SANAYİ VE TİCARET A.Ş.,İZMİR,TRABTCIM91F5
BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,BURSA,TRABUCIM91F3
BULGS,BULLS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREBULS00012
BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURSA,TRABURCE91G9
BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURSA,TREBRVN00018
BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,ANKARA,TREBVSB00011
BYDNR,BAYDÖNER RESTORANLARI A.Ş.,İZMİR,TREBYDN00012
CANTE,ÇAN2 TERMİK A.Ş.,İSTANBUL,TRECAN200011
CASA,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREKRSS00014
CATES,ÇATES ELEKTRİK ÜRETİM A.Ş.,ZONGULDAK,TRECATS00015
CCOLA,COCA-COLA İÇECEK A.Ş.,İSTANBUL,TRECOLA00011
CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,KOCAELİ,TRACELHA91G1
CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,KIRŞEHİR,TRECMAS00010
CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,BURSA,TRACEMTS91G6
CEMZY,CEM ZEYTİN A.Ş.,İZMİR,TRECEMZ00017
CEOEM,CEO EVENT MEDYA A.Ş.,İSTANBUL,TRECEOM00011
CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.,AYDIN,TRECGDC00010
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRACIMSA91F9
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,İSTANBUL,TRACLEBI91M5
CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,İZMİR,TRACMBTN91F5
CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,İZMİR,TRACMENT91F9
CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,İSTANBUL,TRECONS00019
COSMO,COSMOS YATIRIM HOLDİNG A.Ş.,İSTANBUL,TRABUMYO91Q2
CRDFA,CREDITWEST FAKTORİNG A.Ş.,İSTANBUL,TRATPFAC91P5
CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,İSTANBUL,TRECARF00032
CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,İSTANBUL,TRECUHA00016
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRECVKM00021
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,ANTALYA,TRECWEN00012
DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREDAGI00011
DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,İSTANBUL,TREDAPG00032
DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,ÇANAKKALE,TRADARDL91A3
DCTTR,DCT TRADİNG DIŞ TİCARET A.Ş.,İSTANBUL,TREDCTT00025
DENGE,DENGE YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREDNGH00016
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREDDST00017
DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,TEKİRDAĞ,TRADERIM91B0
DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREDESA00015
DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,İSTANBUL,TREDSPC00017
DEVA,DEVA HOLDİNG A.Ş.,İSTANBUL,TRADEVAW91E2
DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,İSTANBUL,TREDGTE00010
DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAOSGYO91Q1
DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAKLBMO91C0
DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,ISPARTA,TREDRTK00014
DITAS,DİTAŞ BDY YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,NİĞDE,TRADITAS91H8
DMLKT,EMLAK KONUT DAMLA KENT GMS,İSTANBUL,TRNEGYO00018
DMRGD,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,İSTANBUL,TREDMRU00026
DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,KOCAELİ,TRADMSAS91E9
DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,İZMİR,TREDIMY00027
DNYVA,DÜNYA VARLIK YÖNETİM A.Ş.,İSTANBUL,TREDVYS00019
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,İSTANBUL,TREDOTO00013
DOCO,DO & CO AKTIENGESELLSCHAFT,,AT0000818802
DOFER,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,ANKARA,TREDOFR00023
DOFRB,DOF ROBOTİK SANAYİ A.Ş.,İSTANBUL,TREDFRB00020
DOGUB,DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.,ERZİNCAN,TRADOGUB92F9
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,İSTANBUL,TRADOHOL91Q8
DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,BURSA,TRADOKTS91G7
DSTKF,DESTEK FİNANS FAKTORİNG A.Ş.,İSTANBUL,TREDSTF00012
DUNYH,DÜNYA HOLDİNG A.Ş.,İSTANBUL,TRASELGD91A6
DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,İSTANBUL,TRADUROF91D4
DURKN,DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş.,ANKARA,TREDRKN00025
DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,İZMİR,TRAYASAS91E0
DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRADMRYO91Q4
EBEBK,EBEBEK MAĞAZACILIK A.Ş.,İSTANBUL,TREEBEB00025
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAECILC91E0
ECOGR,ECOGREEN ENERJİ HOLDİNG A.Ş.,DENİZLİ,TREECGR00024
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,İSTANBUL,TRAECZYT91Q5
EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,ANKARA,TREEDTA00021
EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAEDIPW91B3
EFOR,EFOR YATIRIM SANAYİ TİCARET A.Ş.,İSTANBUL,TREEFOR00013
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,İZMİR,TRAEGEEN91H5
EGEGY,EGEYAPI AVRUPA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREEGEY00018
EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,İZMİR,TRENSMD00029
EGGUB,EGE GÜBRE SANAYİİ A.Ş.,İZMİR,TRAEGGUB91E8
